isDGA,length,digits,entropy,vowel-cons,firstDigitIndex,ngrams
dga,13,0,3.5465935642949384,0.08333333333333333,0,744.6709401709401
dga,26,10,4.132944044980958,0.3333333333333333,1,715.217264957265
dga,8,0,2.5,0.3333333333333333,0,1918.797619047619
dga,26,7,4.18083298720544,0.35714285714285715,1,682.2694017094018
dga,24,9,3.8349625007211565,0.6666666666666666,2,544.1781400966183
dga,12,0,3.418295834054489,0.09090909090909091,0,690.3878787878789
dga,7,0,2.807354922057604,0.16666666666666666,0,835.4825396825398
dga,24,6,4.084962500721156,0.2,16,702.2881532718488
dga,14,0,3.039148671903071,0.2727272727272727,0,1156.370879120879
dga,12,0,3.2516291673878226,0.3333333333333333,0,969.5292929292931
dga,13,0,2.5654483718208256,0.0,0,609.4978632478633
dga,13,0,3.5465935642949384,0.18181818181818182,0,844.5281662781662
dga,15,0,3.323231428797621,0.15384615384615385,0,908.9059829059829
dga,14,0,3.3787834934861767,0.16666666666666666,0,720.7359584859583
dga,15,0,3.456564762130954,0.15384615384615385,0,729.33663003663
dga,13,0,3.085055102756477,0.18181818181818182,0,1003.3916083916083
dga,13,0,3.238901256602631,0.18181818181818182,0,786.4893162393163
dga,12,0,2.8553885422075336,0.09090909090909091,0,553.1090909090909
dga,26,6,4.026986833359286,0.3333333333333333,1,872.9307692307692
dga,26,10,4.056020968057881,0.14285714285714285,1,567.3405128205128
dga,25,0,4.213660689688185,0.13636363636363635,0,877.9661352657005
dga,15,0,3.5068905956085183,0.25,0,646.6907203907203
dga,14,0,3.039148671903071,0.2727272727272727,0,973.3400488400489
dga,13,0,3.3927474104487847,0.3,0,803.3914141414142
dga,11,0,3.0957952550009344,0.375,0,734.2067340067341
dga,12,0,3.188721875540867,1.0,0,816.1969696969696
dga,10,0,2.921928094887362,0.6666666666666666,0,1500.1601851851854
dga,29,0,4.03039478823102,0.2608695652173913,0,964.8053122909445
dga,10,0,2.6464393446710153,0.6666666666666666,0,1713.9592592592592
dga,27,0,3.8804563734806257,0.125,0,699.3016714150048
dga,20,0,3.5841837197791886,0.25,0,721.487134502924
dga,8,0,2.5,0.14285714285714285,0,942.7698412698413
dga,26,10,4.2098671219040344,0.23076923076923078,5,719.9754273504273
dga,26,5,3.9021748142117274,0.05,1,467.02666666666664
dga,12,0,3.418295834054489,0.09090909090909091,0,736.820707070707
dga,12,0,3.0220552088742,0.0,0,587.3989898989898
dga,12,0,3.418295834054489,0.2,0,660.3282828282828
dga,13,0,3.238901256602631,0.4444444444444444,0,1289.0596348096349
dga,8,0,2.75,0.14285714285714285,0,1210.7777777777778
dga,26,9,4.085055102756476,0.13333333333333333,1,491.52358974358975
dga,26,11,4.026986833359286,0.36363636363636365,1,611.0700854700855
dga,27,0,4.2824842613426,0.17391304347826086,0,801.5325166191833
dga,12,0,3.584962500721156,0.3333333333333333,0,853.0409090909092
dga,26,9,4.23890125660263,0.21428571428571427,1,551.6777777777778
dga,27,11,4.014146761422729,0.14285714285714285,1,366.2578347578348
dga,15,0,3.5068905956085183,0.25,0,831.6059829059828
dga,8,0,3.0,0.14285714285714285,0,505.8214285714286
dga,26,0,3.686419411348773,0.08333333333333333,0,724.217264957265
dga,8,0,2.75,0.6,0,1258.3710317460316
dga,25,13,4.1834651896016455,0.2,1,333.57746376811593
dga,12,0,3.418295834054489,0.3333333333333333,0,961.6530303030304
dga,14,0,3.3248629576173574,0.4,0,1519.8025030525032
dga,14,0,3.378783493486176,0.16666666666666666,0,1039.5494505494505
dga,28,6,4.039148671903071,0.29411764705882354,1,848.7109618776285
dga,12,0,3.2516291673878226,0.09090909090909091,0,688.7085858585859
dga,27,9,4.088220835496803,0.38461538461538464,1,599.8497815764482
dga,28,9,3.72290749432188,0.35714285714285715,1,784.8600936100937
dga,23,0,3.6424896731661263,0.21052631578947367,0,955.2677708764667
dga,13,0,2.8150724101159437,0.4444444444444444,0,1122.7536907536908
dga,15,0,3.6402239289418516,0.15384615384615385,0,1054.9583638583638
dga,26,0,3.7962176025900556,0.23809523809523808,0,1216.3114957264959
dga,8,0,2.5,0.3333333333333333,0,1421.0555555555557
dga,12,0,3.0220552088742005,0.3333333333333333,0,1306.3393939393939
dga,13,0,3.0269868333592873,0.3,0,663.7449494949495
dga,14,0,3.09306920777189,0.2727272727272727,0,860.1456043956044
dga,12,0,3.418295834054489,0.3333333333333333,0,837.7363636363638
dga,26,0,3.6864194113487736,0.04,0,794.0460256410257
dga,9,0,3.169925001442312,0.5,0,1188.501322751323
dga,20,0,3.6464393446710153,0.1111111111111111,0,871.9019493177389
dga,13,0,3.180832987205441,0.3,0,802.4642579642581
dga,12,0,3.418295834054489,0.09090909090909091,0,725.4954545454544
dga,26,0,3.9462227768165983,0.13043478260869565,0,768.3295299145298
dga,8,0,2.75,1.0,0,1588.6666666666667
dga,12,0,3.418295834054489,0.5,0,1211.0146464646464
dga,25,3,4.053660689688185,0.2222222222222222,16,639.6263768115942
dga,32,14,3.4536267670198737,1.25,4,823.6487007168458
dga,15,0,3.3735572622751846,0.25,0,1104.1798534798534
dga,12,0,3.084962500721156,0.0,0,920.381313131313
dga,15,0,3.506890595608519,0.15384615384615385,0,985.3228327228327
dga,28,8,3.692380602454975,0.17647058823529413,1,629.7758784425451
dga,12,0,3.418295834054489,0.2,0,740.0282828282828
dga,13,0,3.238901256602631,0.625,0,1294.795843045843
dga,15,0,3.5068905956085183,0.36363636363636365,0,966.6263736263736
dga,12,0,3.2516291673878226,0.2,0,932.1696969696969
dga,8,0,2.75,0.6,0,851.4761904761905
dga,12,0,3.084962500721156,0.2,0,815.6353535353537
dga,26,0,3.59448250651942,0.3,0,942.7473931623932
dga,19,0,3.7871439606981387,0.35714285714285715,0,791.6945877766311
dga,13,0,3.238901256602631,0.18181818181818182,0,746.4312354312355
dga,13,0,3.546593564294939,0.3,0,913.1796814296813
dga,13,0,3.238901256602631,0.3,0,1152.5998445998446
dga,15,0,3.456564762130954,0.25,0,839.3796092796092
dga,25,9,4.003856189774723,0.3333333333333333,1,522.7642270531401
dga,14,0,3.6644977792004623,0.2727272727272727,0,818.2814407814408
dga,13,0,3.085055102756477,0.4444444444444444,0,1170.1561771561771
dga,28,10,3.994680368408908,0.2,1,422.285816035816
dga,14,0,3.2359263506290326,0.16666666666666666,0,656.1285103785104
dga,13,0,3.392747410448785,0.3,0,1060.5499222999222
dga,23,0,3.670968891951065,0.15,0,740.2292176422611
dga,10,0,2.9219280948873623,0.6666666666666666,0,1531.8592592592593
dga,9,0,2.94770277922009,0.8,0,1783.2896825396826
dga,18,0,3.94770277922009,0.2,0,716.0709422657951
dga,12,0,3.188721875540867,0.5,0,1149.148484848485
dga,9,0,2.725480556997868,0.8,0,1559.2936507936508
dga,27,10,4.208410187268527,0.5454545454545454,1,669.141918328585
dga,11,0,2.845350936622437,0.2222222222222222,0,703.605387205387
dga,23,0,3.849223912390625,0.2777777777777778,0,804.2964740573437
dga,13,0,3.238901256602631,0.08333333333333333,0,714.0738150738152
dga,14,0,3.521640636343319,0.5555555555555556,0,1372.8195970695972
dga,12,0,3.418295834054489,0.5,0,1017.7772727272727
dga,15,0,3.506890595608519,0.15384615384615385,0,714.5079365079364
dga,9,0,2.725480556997868,0.8,0,1624.2824074074076
dga,25,9,3.9238561897747233,0.06666666666666667,1,257.48611111111114
dga,9,0,2.9477027792200903,0.5,0,1360.4748677248676
