isDGA,domain,length,digits,entropy,vowel-cons,firstDigitIndex,ngrams
dga,tyopcrkqgxcfm,13,0,3.5465935642949384,0.08333333333333333,0,744.6709401709401
dga,72j5rn1l9mzleo6203v1ogenfl,26,10,4.132944044980958,0.3333333333333333,1,715.217264957265
dga,thenrest,8,0,2.5,0.3333333333333333,0,1918.797619047619
dga,15ihbm71utcnfa8dk1mmgoobl9,26,7,4.18083298720544,0.35714285714285715,1,682.2694017094018
dga,x1d6ou7e7kofk60ayhq74x7e,24,9,3.8349625007211565,0.6666666666666666,2,544.1781400966183
dga,nvptudwjfcmv,12,0,3.418295834054489,0.09090909090909091,0,690.3878787878789
dga,dtvbafg,7,0,2.807354922057604,0.16666666666666666,0,835.4825396825398
dga,doqlkpjszrcacin3d7j7k931,24,6,4.084962500721156,0.2,16,702.2881532718488
dga,tacygbtrbuytir,14,0,3.039148671903071,0.2727272727272727,0,1156.370879120879
dga,ogpbfninqpxa,12,0,3.2516291673878226,0.3333333333333333,0,969.5292929292931
dga,pkllwwkklkgbs,13,0,2.5654483718208256,0.0,0,609.4978632478633
dga,ogwpkevwsdhlm,13,0,3.5465935642949384,0.18181818181818182,0,844.5281662781662
dga,kllpyohlrmedmxy,15,0,3.323231428797621,0.15384615384615385,0,908.9059829059829
dga,rkptqwwluipqhm,14,0,3.3787834934861767,0.16666666666666666,0,720.7359584859583
dga,fgvpimdffyanxhh,15,0,3.456564762130954,0.15384615384615385,0,729.33663003663
dga,tubphtrdyyhed,13,0,3.085055102756477,0.18181818181818182,0,1003.3916083916083
dga,rsjhcuwsvqhqa,13,0,3.238901256602631,0.18181818181818182,0,786.4893162393163
dga,ydgghhwyuqsy,12,0,2.8553885422075336,0.09090909090909091,0,553.1090909090909
dga,1f7ewbe1agxr7dwegr4s9tnozw,26,6,4.026986833359286,0.3333333333333333,1,872.9307692307692
dga,1ll2hfm1dc3ry3mwd93be2pa69,26,10,4.056020968057881,0.14285714285714285,1,567.3405128205128
dga,fmhlayeprxkvcjrtpxswsqsbu,25,0,4.213660689688185,0.13636363636363635,0,877.9661352657005
dga,bvxjoqrwnbhuhij,15,0,3.5068905956085183,0.25,0,646.6907203907203
dga,wcavynybnkwraa,14,0,3.039148671903071,0.2727272727272727,0,973.3400488400489
dga,vxfouucqbrbts,13,0,3.3927474104487847,0.3,0,803.3914141414142
dga,ukoldwwbgun,11,0,3.0957952550009344,0.375,0,734.2067340067341
dga,umjoklxgauui,12,0,3.188721875540867,1.0,0,816.1969696969696
dga,southearth,10,0,2.921928094887362,0.6666666666666666,0,1500.1601851851854
dga,uckjmzeqsomncmfaytrvsaqempznj,29,0,4.03039478823102,0.2608695652173913,0,964.8053122909445
dga,spendpeace,10,0,2.6464393446710153,0.6666666666666666,0,1713.9592592592592
dga,njkznfharknznzzpmfgucylvozx,27,0,3.8804563734806257,0.125,0,699.3016714150048
dga,otjqqfqgdfohvhipepvk,20,0,3.5841837197791886,0.25,0,721.487134502924
dga,gtqtkaqs,8,0,2.5,0.14285714285714285,0,942.7698412698413
dga,ehsr5aiw2g48136h2tr1tn1bfk,26,10,4.2098671219040344,0.23076923076923078,5,719.9754273504273
dga,1xfstzpkqwszqa2b2gj19xztpj,26,5,3.9021748142117274,0.05,1,467.02666666666664
